Description,Synonyms
Cystic fibrosis severity,[]
matrix metalloproteinase measurement,[]
osteoporosis,"['bone mineral density quantitative trait locus 8', 'bmnd8', 'osteoporosis', 'family history of osteoporosis', 'encounter due to family history of osteoporosis', 'family hx osteoporosis', 'osteoporosis', 'osteoporosis, nos', 'osteoporosis nos', 'osteoporosis, unspecified (disorder)', 'osteoporosis nos (disorder)', 'op - osteoporosis', 'osteoporosis (diagnosis)', 'unspecified osteoporosis', 'osteoporosis (disorder)', 'osteoporosis, unspecified', 'unspecified osteoporosis, site unspecified', 'osteoporoses', 'osteoporosis [disease/finding]', 'osteoporosis', 'osteoporosis adverse event', 'osteoporosis']"
Lung cancer,"['lung carcinoma', 'carcinoma lung', 'lung cancer, nos', 'carcinoma of lung', 'carcinoma of the lung', 'carcinoma lungs', 'carcinoma;respiratory', 'carcinoma;lung', 'carcinomas lung', 'cancer of bronchus; lung', 'cancer of lung', 'carcinoma of lung (diagnosis)', 'lung cancer', 'cancer of the lung', 'pulmonary carcinoma', 'lung cancer nos', 'of lung carcinoma', 'malignant tumour of lung', 'lung malignancies', 'lung cancer nos', 'malignant tumor of lung', 'cancer, pulmonary', 'malignant neoplasm lung', 'ca lung', 'cancer of the lung', 'malignant neoplasm of lung, nos', 'lung malignancy', 'cancer pulmonary', 'neoplasm malig;lung', 'malignant lung tumor', 'lungs cancer', 'lung cancers', 'lung malignant tumours', 'malignant lung neoplasm', 'pulmonary cancer', 'lung malignant tumors', 'cancers, pulmonary', 'malignant neoplasm of lung', 'malignant tumor of the lung', 'ca - lung cancer', 'malignant neoplasm of the lung', 'malignant neosplasm of the lung', 'cancers lungs', 'lung cancer malignant', 'cancers, lung', 'malignant neoplasm of lung (diagnosis)', 'lung cancer', 'lung cancer (diagnosis)', 'pulmonary cancers', 'lung neoplasm malignant', 'malignant tumor of lung (disorder)', 'cancer, lung', 'cancer of lung']"
Iron status,[]
Iron status biomarkers,[]
Neuranatomic and neurocognitive phenotypes,[]
Complement C3 and C4 levels,[]
kidney disease,"['diseases, kidney', 'kidney diseases', 'disease of kidney', 'nephropathy nos', 'disorder kidney', 'renal disease (diagnosis)', 'renal disorders', 'disorder renal', 'disorder;kidney', 'kidney disease nos', 'renal disorder nos', 'renal diseases', 'nephropathy, nos', 'nephrologic disease', 'kidney dis', 'nephropathy', 'kidney disorder', 'kidney disease nos (disorder)', 'kidney diseases [disease/finding]', 'diseases kidneys', 'kidney disease', 'renal disorder (diagnosis)', 'renal disorder, nos', 'renal disease, nos', 'renal; disease', 'renal disease', 'kidney disease, nos', 'kidney disease (disorder)', 'nephropathy (diagnosis)', 'renal disorders: nonspecific', 'disease, kidney', 'disorder of kidney', 'nephropathies', 'kidney disorders', 'renal disorder', 'renal disease nos']"
Alzheimer's disease (late onset),[]
Fasting plasma glucose,"['plasma fasting glucose measurement (procedure)', 'fasting plasma glucose measurement', 'plasma fasting glucose measurement', 'plasma fasting glucose level (procedure)', 'plasma fasting glucose level', 'fasting plasma glucose', 'fasting plasma glucose measurement (lab test)', 'plasma glucose fasting']"
Red vs non-red hair color,[]
iron biomarker measurement,[]
pulmonary function measurement,[]
dilated cardiomyopathy,"['ccm - congestive cardiomyopathy', 'congestive dilated cardiomyopathy', 'cardiomyopathies, dilated', 'cardiomyopathy congestive', 'heart; dilatation, cardiomyopathy', 'cardiomyopathy;congestive', 'congestive (dilated) cardiomyopathy', 'dilated cardiomyopathy', 'dcm - dilated cardiomyopathy', 'cardiomyopathy, dilated', 'cardiomyopathy, congestive', 'cocm - congestive cardiomyop', 'primary dilated cardiomyopathy', 'cardiomyopathy, dilated [disease/finding]', 'dilated cardiomyopathy (diagnosis)', 'congestive cardiomyopathy', 'cocm - congestive cardiomyopathy', 'primary dilated cardiomyopathy (disorder)', 'congestive cardiomyopathy (diagnosis)', 'cardiomyopathy; cardiomyopathy, dilated', 'dilated cardiomyopathies', 'congestive cardiomyopathy (disorder)', 'cardiomyopathy dilated', 'cocm congestive (dilated) cardiomyopathy', 'ccm - congestive cardiomyopath', 'dcm pathway', 'dilated cardiomyopathy', 'dilated cardiomyopathy pathway']"
HOMA-B,[]
gastric bypass,"['stomach bypass', 'bypass of stomach', 'gastric bypass', 'gastric bypass nos', 'bypass of stomach (procedure)', 'bypass, gastric']"
Crohn's disease and celiac disease,[]
cornea structure,[]
Ankle-brachial index,"['indices, ankle-brachial', 'ankle brachial test', 'ankle brachial index', 'ankle brachial pressure index (observable entity)', 'ankle brachial indices', 'abi', 'ankle brachial pressure index', 'ankle-brachial pressure index', 'ankle-arm pressure index', 'index, ankle brachial', 'indices, ankle brachial', 'ankle brachial index (physical finding)', 'brachial index, ankle', 'index, ankle-brachial', 'brachial indices, ankle', 'ankle-arm index', 'ankle-brachial index', 'ankle-brachial indices']"
Soluble levels of adhesion molecules,[]
nephroblastoma,"[""wilms' tumour"", 'wt1', ""tumor wilms's"", 'renal cancer, wilms', 'wilms tumor 1', 'wilms; tumor', 'kidney, adenomyosarcoma, embryonal', 'kidney, embryoma', ""tumor wilms'"", 'wilms tumor', 'nephroblastoma (morphologic abnormality)', 'tumor wilms', ""wilms' tumor"", 'kidney; embryoma', '[m]nephroblastoma nos', 'kidney, carcinosarcoma, embryonal', ""wilms' tumor and other childhood kidney tumors"", 'kidney, embryonal mixed tumor', ""tumors wilm's"", 'wilms tumor [disease/finding]', 'wilm tumor', 'nephroblastoma, malignant', 'embryoma; kidney', 'nephromas', 'nephroblastoma nos', 'wilms tumour', 'nephroblastoma (disorder)', ""tumor, wilms'"", 'nephroblastoma of kidney (diagnosis)', 'nephroblastoma', 'nephroma, nos', ""wilm's tumor"", 'nephroma', ""tumor wilm's"", 'tumor, wilms', 'renal adenosarcoma', 'tumor; wilms', 'nephroblastoma, nos', 'renal wilms tumor', 'embryonal nephroma', 'tumors wilms', 'nephroblastomas', 'nephroblastoma of kidney', 'wilms', ""renal wilms' tumor"", 'nephroblastoma (m-89603)', 'embryonal adenosarcoma', 'wilms tumor (nephroblastoma)', ""wilms' tumor of the kidney"", 'nephroblastoma (wilms tumor)', 'wilms tumor of the kidney']"
"Thyroid cancer (Papillary, radiation-related)",[]
rheumatoid arthritis,"['rheumatoid arthritis', 'rheumatoid arthritis (allelic variant)', 'rha - rheumatoid arthritis', 'rheumatoid arthritis nos', 'rheumatoid; arthritis', 'r arthritis', 'rheumatoid arthritis (diagnosis)', 'rheumatoid arthritis systemic', 'arthritis or polyarthritis, atrophic', 'proliferative arthritis', 'atrophic arthritis', 'arthritis rheumatoid', 'rheumatoid arthritis nos (disorder)', 'atrophic; arthritis', 'rheumatic gout', 'rheumatoid arthritis (disorder)', 'ra', 'arthritis or polyarthritis, rheumatic', 'chronic rheumatic arthritis', 'arthritis, rheumatoid [disease/finding]', 'rheumatoid arthritis, unspecified, site unspecified', 'arthritis, rheumatic', 'arthritis; rheumatoid', 'rheumatoid disease', 'rheumatoid arthritis', 'rheumatoid arthritis, susceptibility to', 'gout rheumatic', 'rh arthritis', 'ra (rheumatoid arthritis)', 'arthritis; atrophic', 'rheumatoid arthritis, unspecified', 'ra - rheumatoid arthritis', 'arthritis, rheumatoid', 'systemic rheumatoid arthritis']"
response to anticoagulant,['response to anticoagulant']
Drug-induced liver injury,"['liver injuries, drug-induced', 'drug-induced liver diseases', 'drug induced liver injury', 'disease drug induced liver', 'injury, drug-induced liver', 'liver diseases, drug-induced', 'disease, drug-induced liver', 'drug-induced hepatoxicity', 'liver disease, drug-induced', 'liver injury, drug induced', 'diseases drug induced liver', 'drug-induced liver injury [disease/finding]', 'diseases, drug-induced liver', 'injuries, drug-induced liver', 'drug-induced liver injuries', 'drug-induced liver injury', 'drug-induced liver disease', 'drug induced liver disease', 'diseases drugs inducing liver', 'liver injury, drug-induced', 'dili']"
fasting blood insulin measurement,[]
vitamin a measurement,"['retinol', 'vitamin a measurement (procedure)', 'vitamin a measurement', 'vitamin a', 'measurement of vitamin a', 'vtmn a ea.tst', 'vitamin a each test', 'vita', 'assay of vitamin a', 'vitamin a level', 'vitamin a level test']"
IgE levels,[]
total cholesterol measurement,"['total cholesterol measurement (procedure)', 'serum total cholesterol measurement', 'total serum cholesterol', 'cholesterol total', 'total cholesterol test', 'serum total cholesterol measurement (procedure)', 'total cholesterol measurement', 'serum total cholesterol level', 'total cholesterol', 'cholesterol, total, measurement', 'measurement of total cholesterol in serum', 'total cholesterol measurement - plasma', 'total plasma cholesterol level (lab test)']"
d dimer measurement,[]
Liver enzyme levels (gamma-glutamyl transferase),[]
Electrocardiographic conduction measures,[]
Waist circumference,"['circumference of waist', 'waist circumference', 'circumference of waist (physical finding)', 'waist circumference (observable entity)', 'waist circumferences', 'circumferences, waist', 'circumference waist', 'circumference, waist', 'waist circumference', 'wstcir']"
nicotine dependence,"['addictions nicotine', 'dependence; nicotine', 'dependence, nicotine', 'nicotine dependence (diagnosis)', 'nicotine dependence, unspecified', 'dependence nicotine', 'nicotine; dependence', 'addiction nicotine', 'dependency on nicotine', 'nicotine dependence (disorder)', 'nicotine dependence', 'nicotine addiction', 'addiction;nicotine']"
body mass index,"['body mass index [bmi] (z68)', 'body mass index [bmi]', 'encounter for body mass index [bmi]', 'body mass index', 'body mass index - observation', 'body mass index [dup] (observable entity)', 'body mass index (bmi)', 'bmi', 'body mass index, nos', 'quetelet index (observable entity)', 'quetelet index', 'body mass index (observable entity)', 'body mass index (physical finding)', 'bmi - body mass index', 'body mass index', 'quetelets index', 'bmi', 'body mass index (bmi)', 'quetelet index', 'index, body mass', 'index, quetelet', ""quetelet's index"", 'body mass index procedure', 'body mass index']"
response to statin,"['response to statin', 'response to hmg-coa reductase inhibitor', 'response to hydroxymethylglutaryl-coa reductase inhibitor']"
fibrinogen measurement,"['fibrinogen assay, nos', 'fibrinogen levels', 'fibrinogen measurement', 'fibrinogen assay (procedure)', 'fibrinogen assay/titer', 'fibrinogen level test', 'fibrinogen assay/titer (qualifier value)', 'fibrino', 'fibrinogen', 'fibrinogen assay', 'test;fibrinogen', 'fibrinogen, chemical, quantitative measurement', 'fibrinogen assay/titre (procedure)', 'fibrinogen tests', 'fibrinogen assay/titre', 'fibrinogen test', 'fibrinogen screening', 'fibrinogen testing', 'fibrinogen measurement (procedure)', 'fibrinogen level', 'fibrinogen level (procedure)']"
response to reverse transcriptase inhibitor,['response to reverse transcriptase inhibitor']
Blue vs. brown eyes,[]
early onset hypertension,[]
response to risperidone,['response to risperidone']
skin sensitivity to sun,[]
age-related macular degeneration,"['senile macular degeneration', 'maculopathy, age related', 'dystrophies, macular', 'degenerations, macular', 'armd (age related macular degeneration)', 'smd - senile macular degen', 'macular degenerations, age-related', 'maculopathy age relat', 'amd - age-related macular degeneration', 'age-related macular degeneratn', 'macular degeneration senile', 'senile macular retinal degeneration', 'senile macular retinal degeneration, nos', 'age related macular degeneration', 'age relat maculopathy', 'maculopathies age relat', 'age-related maculopathies', 'amd-age-related macular degen', 'macular dystrophies', 'dystrophy, macular', 'degeneration, age-related macular', 'macular degeneration', 'maculopathies, age related', 'armd-age-related macular degen', 'unspecified senile macular degeneration (disorder)', 'armd', 'maculopathy, age-related', 'degeneration, macular', 'macular degeneration nos', 'age-related macular degeneration (disorder)', 'maculopathies, age-related', 'macular degenerations', 'macular dystrophy', 'amd', 'unspecified senile macular degeneration', 'senile macular degen.unspecif.', 'age related maculopathy', 'degenerations, age-related macular', 'age-related maculopathy', 'macular degeneration [disease/finding]', 'macular degeneration, age-related', 'age related macular degeneration (disorder)', 'macular degeneration (senile) of retina, unspecified', 'age relat maculopathies', 'age related macular degeneration (armd)', 'age related maculopathies', 'armd - age-related macular degeneration', 'senile macular degeneration of retina, unspecified', 'macular degeneration age related', 'age-related macular degeneration', 'macular degeneration (senile), unspecified', 'smd - senile macular degeneration', 'aamd - age related macular degeneration', 'age related macular degeneration (disorder) [ambiguous]', 'age-related macular degenerations']"
pancreatic carcinoma,"['cancer of the pancreas', 'pancreatic cancer (excluding islets), nos', 'pancreatic acinar carcinoma', 'carcinoma;pancreas', 'carcinoma of pancreas (disorder)', 'carcinoma pancreas', 'carcinoma pancreatic', 'exocrine cancer', 'exocrine pancreas carcinoma', 'carcinoma of the pancreas', 'pancreatic carcinoma', 'pancreas cancer', 'cancer of pancreas', 'pancreatic cancer (not islets)', 'pancreatic carcinoma nos', 'pancreas carcinoma', 'pancreatic cancer', 'carcinoma of pancreas', 'carcinoma of pancreas (diagnosis)']"
Adiposity,"['adiposity', 'adiposity (disorder)', 'adiposis', 'adipositas', 'obese', 'obesity, unspecified', 'obese (finding)', 'obesity [ambiguous]', 'obesity (disorder)', 'obesity nos', 'adiposity', 'obesity [disease/finding]', 'obesity, nos', 'obesity', 'obesities', 'obesity (diagnosis)']"
Tanning,"['tannings', 'tanning', 'tanning of leather', 'skin tanning', 'tan', 'tanning', 'skin tan', 'tans']"
cystic fibrosis,"['cystic fibrosis nos', 'cf', 'cystic fibrosis [disease/finding]', 'cf - cystic fibrosis', 'cystic fibrosis nos (disorder)', 'cystic disorder fibrosis', 'cystic fibrosis (cf)', 'cystic fibrosis (diagnosis)', 'cystic fibrosis (disorder) [ambiguous]', 'fibrosis; cystic', 'disease; fibrocystic', 'cystic; fibrosis', 'diseases fibrocystic', 'disease fibrocystic pancreas', 'cystic fibrosis, unspecified', 'pancreas cystic fibrosis', 'fibrocystic disease of pancreas', 'fibrosis, cystic', 'cf (cystic fibrosis)', 'mucoviscidosis', 'fibrocystic disease', 'cystic fibrosis pancreas', 'cystic fibrosis (disorder)', 'disease fibrocystic', 'disease;fibrocystic', 'cystic fibrosis', 'fibrocystic; disease']"
Pulmonary arterial hypertension (without BMPR2 mutations),[]
myocardial infarction,"['infarctions (myocardial)', 'infarction (mi), myocardial', 'myocardial infarction (disorder)', 'cardiac infarction', 'infarction;heart', 'coronary attack', 'disorder infarction myocardial', 'infarctions, myocardial', 'infarction of heart, nos', 'syndrome myocardial infarction', 'attacks hearts', 'myocardial infarctions', 'heart infarction', 'heart attack, nos', 'myocardial infarct', 'myocardial infarction (mi)', 'heart attacks', 'mi - myocardial infarction', 'infarct myocardial', 'attack coronary', 'attack hearts', 'mies', 'infarction of heart', 'myocardial infarction [disease/finding]', 'ami', 'cardiac infarction, nos', 'myocardial infarction syndrome', 'infarcts myocardial', 'infarction, myocardial', 'infarction; myocardial', 'myocardial infarction nos', 'infarction;myocardial', 'attacking heart', 'myocardial infarction, (mi)', 'myocardial infarcts', 'cardiac; infarction', 'attacks coronary', 'infarcts, myocardial', 'myocardial necrosis', 'mi, myocardial infarction', 'mi', 'infarctions myocardial', 'attack - heart', 'infarct, myocardial', 'myocardial infarction', 'heart attack', 'myocardial infarction, nos', 'attack heart (nos)', 'myocardial infarction:finding:point in time:^patient:ordinal', 'myocardial infarction', 'myocardial infarction:find:pt:^patient:ord', 'ekg findings of infarction', 'ecg myocardial infarction', 'myocardial infarction ecg', 'electrocardiogram: myocardial infarct nos', 'myocardial infarction by ecg finding', 'electrocardiogram finding of infarction (finding)', 'electrocardiogram: myocardial infarction (finding)', 'ekg findings of infarction (finding)', 'ecg: myocardial infarct nos', 'ecg: myocardial infarction', 'electrocardiogram finding of infarction', 'electrocardiogram: myocardial infarct nos (finding)', 'ecg infarction myocardial', 'myocardial infarction', 'electrocardiogram: myocardial infarction', 'ecg: myocardial infarct nos (finding)', 'ecg: myocardial infarction (finding)']"
obesity,"['obesity', 'obesity adverse event', 'obese', 'obesity, unspecified', 'obese (finding)', 'obesity [ambiguous]', 'obesity (disorder)', 'obesity nos', 'adiposity', 'obesity [disease/finding]', 'obesity, nos', 'obesity', 'obesities', 'obesity (diagnosis)']"
essential tremor,"['essential tremor (finding)', 'tremor, benign essential', 'tremor; essential', 'benign essential tremor (disorder) [ambiguous]', 'benign essential tremor', 'essential benign tremors', 'benign essential tremor (disorder)', 'essential; tremor', 'essential tremors, benign', 'tremors, benign essential', 'benign essential tremors', 'essential benign tremor', 'essential tremor (hereditary)', 'physiological tremor', 'tremors, essential', 'benign essential tremor syndrome', 'tremor, physiological', 'tremor essential', 'essential tremors', 'presenile tremor syndrome', 'tremor, essential', 'essential tremor', 'essential tremor, benign', 'essential tremor [disease/finding]', 'essential tremor', 'essential tremor (disorder)']"
Alzheimer's disease (cognitive decline),[]
Platelet counts,"['platelet numbers', 'platelets', 'platelet count - observation', 'number, platelet', 'platelet counts', 'count, platelet', 'platelet count measurement', 'thrombocyte count', 'number, blood platelet', 'whole blood platelet counts', 'blood platelet numbers', 'platelet count (procedure)', 'platelet number, blood', 'counts, blood platelet', 'platelet count (lab test)', 'count, blood platelet', 'counts, platelet', 'blood platelet counts', 'numbers, platelet', 'plat', 'platelets count', 'platelet count nos', 'plt - platelet count', 'platelet count nos (procedure)', 'blood platelet count', 'blood platelet number', 'platelet numbers, blood', 'platelet counts, blood', 'platelet count', 'platelet number', 'numbers, blood platelet', 'platelet count, blood']"
Idiopathic pulmonary fibrosis,"['usual interstitial pneumonia (diagnosis)', 'fibrosis, idiopathic pulmonary', 'ipf', 'cryptogenic fibrosing alveolitis (diagnosis)', 'pulmonary fibrosis idiopathic', 'familial idiopathic pulmonary fibrosis (disorder)', 'idiopathic fibrosing alveolitis, chronic form', 'idiopath pulmon fibrosis', 'pneumonitides, usual interstitial', 'fibrosis; lung, idiopathic', 'uip', 'diseases, hamman-rich', 'idiopathic fibrosing alveolitis, chronic form (disorder)', 'idiopathic pulmonary fibrosis [disease/finding]', 'usual interstitial pneumonitis (disorder)', 'pneumonitis, usual interstitial', 'cryptogenic fibrosing alveolitides', 'pulmonary dysplasias, fibrocystic', 'idiopathic pulmonary fibrosis', 'familial idiopathic pulmonary fibrosis', 'fibrocystic pulmonary dysplasia', 'dysplasias, fibrocystic pulmonary', 'idiopathic pulmonary fibrosis (diagnosis)', 'carrington-liebow syndrome', 'ipf - idiopath pulm fibrosis', 'fibrosing alveolitis, cryptogenic', 'uip - usual interstitial pneumonitis', 'cryptogenic fibrosing alveolitis', 'usual interstitial pneumonia (carrington-liebow)', 'interstitial pneumonitis, usual', 'lung; fibrosis, idiopathic', 'usual interstitial pneumonitis', 'usual interstitial pneumonia', 'idiopathic pulmonary fibroses', 'cfa - crypt fibros alveolitis', 'hamman-rich diseases', 'usual interstitial pneumonitis [ambiguous]', 'usual interstitial pneumonitides', 'pulmonary dysplasia, fibrocystic', 'disease, hamman-rich', 'ipf - idiopathic pulmonary fibrosis', 'interstitial pneumonitides, usual', 'hamman-rich disease', 'interstitial pneumonia, usual', 'dysplasia, fibrocystic pulmonary', 'interstitial pneumonias, usual', 'idiopathic pulmonary fibrosis, familial', 'diopathic pulmonary fibrosis', 'pulmonary fibrosis, idiopathic', 'fibrosing alveolitides, cryptogenic', 'uip - usual inter pneumonitis', 'pulmonary fibroses, idiopathic', 'pneumonia, usual interstitial', 'cfa - cryptogenic fibrosing alveolitis', 'hamman rich disease', 'usual interstitial pneumonias', 'cryptogen fibrosing alveolitis', 'fibrocystic pulmonary dysplasias']"
Response to gemcitabine in pancreatic cancer,[]
uric acid measurement,"['uric acid level', 'uric acid measurement, nos', 'measurement of uric acid', 'uric acid measurement', 'urate measurement', 'urate', 'urate measurement, nos', 'uric acid', 'uric acid measurement (procedure)']"
erythrocyte count,"['erythrocyte number', 'erythrocyte count', 'red cell count', 'erythrocytes', 'blood count; red blood cell (rbc), automated', 'erythrocyte numbers', 'count rbc', 'blood count red blood cell automated', 'erythrocyte count (lab test)', 'count rbcs', 'blood cells count red', 'red blood cell count (procedure)', 'red blood cell count nos', 'count, erythrocyte', 'blood cell counts red', 'counting rbc', 'cell red blood count', 'rbc count', 'red blood cell count', 'rbc count nos', 'red blood cells', 'whole blood erythrocytic cell counts', 'counts rbc', 'blood cell count red', 'rbc count nos (procedure)', 'red blood cell count measurement', 'red blood cell count nos (procedure)', 'erythrocyte counts', 'blood cell count, red', 'rbc - red blood cell count', 'counts, erythrocyte', 'red cell blood count', 'automated rbc count', 'rbc']"
Primary tooth development (number of teeth),[]
Eosinophilic esophagitis (pediatric),[]
Thiazide-induced adverse metabolic effects in hypertensive patients,[]
Black vs. red hair color,[]
